ix,BAC,age,collection_date,drink_type,num_drinks,sex,units,volume_consumed,weight
94,0.04873251,1/15/65,2018-01-29T12:21:46.258532,Beer,1.4,femeal,,16.8,176.32
95,0.08200021,1/6/57,2018-01-29T12:21:46.258810,whiskey,2.1,female,metric,92.18125417,212.5769052
96,0.098875451,2/6/85,2018-01-29T12:21:46.259006,shots,3,female,SI,135.1962087,230.8020749
97,0.207250528,36,2018-01-29T12:21:46.259194,shots,6.1,F,SI,270.6836765,230.0873412
98,0.115288617,29,2018-01-29T12:21:46.259377,Franziskaner Weissbier,3.4,Female,,40.8,162.84
99,0.015252353,614,2018-01-29T12:21:46.259593,Beer,0.5,meal,,6,197.65
100,0.173745998,265,2018-01-29T12:21:46.259874,Merlot,8,M,metric,1184.16635,302.7682555
101,0.032551896,684,2018-01-29T12:21:46.260076,Beer,1.3,Male,,15.6,206.67
102,0.01787513,675,2018-01-29T12:21:46.260260,Vin,0.4,meal,,2,220.46
103,0.138615603,38,2018-01-29T12:21:46.260420,vidka,3.9,F,SI,172.187927,236.0343795
104,0.10408342,717,2018-01-29T12:21:46.260612,whiskey,2.9,F,,4.35,160.47
105,0.046522641,395,2018-01-29T12:21:46.260764,whiskey,2.3,M,,3.45,199.06
106,0.092132254,44,2018-01-29T12:21:46.260941,Scotch,4,meal,,6,182.54
107,0.088182708,605,2018-01-29T12:21:46.261161,Scotch,3.5,meal,,5.25,172.11
108,0.040257509,12/5/88,2018-01-29T12:21:46.261361,Beer,0.9,female,,10.8,135.2
109,0.089972293,612,2018-01-29T12:21:46.261578,vidka,2,F,metric,87.86169968,177.6570495
110,-0.001001579,58,2018-01-29T12:21:46.261787,IPA,0.4,male,metric,142.1025675,253.3037503
111,0.047487218,666,2018-01-29T12:21:46.262062,Merlot,1.4,Female,SI,206.3336239,265.4016359
112,0.034251424,40,2018-01-29T12:21:46.262235,Scotch,1.2,meal,metric,52.88328111,253.7836548
113,0.09372637,55,2018-01-29T12:21:46.262417,whiskey,4,male,,6,178.55
114,0.185944178,367,2018-01-29T12:21:46.262584,Vino,5.7,Male,,28.5,136.57
115,0.051240781,3/23/83,2018-01-29T12:21:46.262736,whiskey,1.4,F,metric,62.82112201,219.5934892
116,0.143406092,596,2018-01-29T12:21:46.262916,Scotch,4,femeal,SI,176.0690775,235.890212
117,0.232333809,29,2018-01-29T12:21:46.263085,Merlot,6.8,femeal,,34,161.79
118,0.045804073,560,2018-01-29T12:21:46.263254,Franziskaner Weissbier,1.1,Female,metric,390.3767885,226.1594501
119,0.056849292,366,2018-01-29T12:21:46.263423,Wine,1.6,,metric,236.3245951,255.7731912
120,0.14303499,11/20/96,2018-01-29T12:21:46.263594,Merlot,4.7,,SI,695.1098148,265.49157
121,0.147716116,45,2018-01-29T12:21:46.263775,whiskey,5,femeal,,7.5,184.08
122,0.203864165,346,2018-01-29T12:21:46.263940,IPA,6.1,F,,73.2,161.15
123,0.245552018,329,2018-01-29T12:21:46.264163,Scotch,8.2,Male,,12.3,155.74
124,0.213352202,336,2018-01-29T12:21:46.264360,whiskey,6.3,F,metric,277.8533998,246.4042975
125,0.267819226,255,2018-01-29T12:21:46.264539,Merlot,8.3,Female,metric,1229.502739,251.5608367
126,0.340076021,276,2018-01-29T12:21:46.264812,Wine,8.7,femeal,SI,1288.987649,208.728993
127,0.118798552,591,2018-01-29T12:21:46.264992,IPA,3.6,,,43.2,167.13
128,0.280644398,26,2018-01-29T12:21:46.265153,Cab,7.4,female,,37,151.53
129,0.098665495,600,2018-01-29T12:21:46.265324,Scotch,4,meal,,6,199.05
130,0.029466469,21,2018-01-29T12:21:46.265480,Scotch,1.1,M,,1.65,179.55
131,0.021192252,544,2018-01-29T12:21:46.265655,Bud Light,1.1,,SI,389.8029553,323.0457022
132,0.109397958,33,2018-01-29T12:21:46.265824,Bud Light,3.7,meal,,44.4,158.14
133,0.011949838,2/6/74,2018-01-29T12:21:46.265998,Franziskaner Weissbier,0.6,femeal,metric,212.1885806,308.2164494
134,0.221193935,374,2018-01-29T12:21:46.266258,Wine,7.2,Female,,36,179.68
135,0.143678448,413,2018-01-29T12:21:46.266537,Wine,5.1,Male,metric,755.179795,232.9406726
136,0.016768769,588,2018-01-29T12:21:46.266723,Vin,1,male,,5,214.65
137,0.07806558,482,2018-01-29T12:21:46.266881,IPA,3.8,meal,,45.6,213.82
138,0.020388529,51,2018-01-29T12:21:46.267048,Franziskaner Weissbier,1,M,metric,354.9725497,266.7758297
139,0.03537439,41,2018-01-29T12:21:46.267342,Cab,1.8,Male,metric,268.0968378,283.9015946
140,0.026637169,730,2018-01-29T12:21:46.268025,vidka,0.8,female,,1.2,183.68
141,0.037895664,28,2018-01-29T12:21:46.268265,Beer,1.7,Male,SI,603.8353291,271.7686796
142,0.017330566,32,2018-01-29T12:21:46.268501,vidka,0.8,Male,,1.2,172.26
143,0.127713498,566,2018-01-29T12:21:46.268700,vidka,4.2,F,,6.3,185.43
144,0.088465603,55,2018-01-29T12:21:46.268940,Vin,3.6,Male,metric,533.3677719,261.6500214
145,0.05225313,52,2018-01-29T12:21:46.269142,Wine,2.4,male,,12,191.01
146,0.082754544,631,2018-01-29T12:21:46.269312,vidka,3.8,male,,5.7,220.55
147,0.130746954,645,2018-01-29T12:21:46.269469,Vino,3.7,femeal,,18.5,162.21
148,0.024506708,31,2018-01-29T12:21:46.269627,Franziskaner Weissbier,0.8,Male,,9.6,171.19
149,0.058704759,10/8/85,2018-01-29T12:21:46.269801,Scotch,1.6,female,SI,71.95899592,216.0176463
150,0.036867763,546,2018-01-29T12:21:46.269992,Vino,1.6,Male,,8,200.01
151,0.085504589,275,2018-01-29T12:21:46.270148,Vino,4.4,Male,,22,223.55
152,0.043441568,59,2018-01-29T12:21:46.270302,Wine,1.7,Male,,8.5,209.94
153,0.171083681,34,2018-01-29T12:21:46.270468,IPA,5.8,femeal,SI,2059.775686,268.4364419
154,0.171215372,381,2018-01-29T12:21:46.270648,shots,5.5,F,SI,244.6159581,272.5254494
155,0.079417122,34,2018-01-29T12:21:46.270826,Warsteiner,2.2,female,metric,782.2002025,225.5842753
156,0.071926742,303,2018-01-29T12:21:46.271012,Wine,3,meal,,15,175.92
157,0.025752892,7/12/71,2018-01-29T12:21:46.271166,whiskey,1.1,,metric,49.25893102,223.5607244
158,0.04565398,392,2018-01-29T12:21:46.271339,shots,2.3,M,,3.45,240.34
159,0.193243478,346,2018-01-29T12:21:46.271486,vidka,5.2,female,,7.8,160.25
160,0.045885247,633,2018-01-29T12:21:46.271631,vidka,1.9,Male,SI,83.2416639,291.7068061
161,0.160796951,43,2018-01-29T12:21:46.271789,Wine,5.2,Female,metric,769.2835778,251.7698651
162,0.120498699,3/3/62,2018-01-29T12:21:46.271960,vidka,3.6,femeal,,5.4,173.6
163,0.070414281,6/4/61,2018-01-29T12:21:46.272123,Beer,2.6,Male,,31.2,175.61
164,0.052051364,473,2018-01-29T12:21:46.272285,IPA,1.9,meal,metric,672.7672467,267.0359506
165,0.018867598,2/21/72,2018-01-29T12:21:46.272449,Scotch,0.5,F,,0.75,176.84
166,0.21528314,406,2018-01-29T12:21:46.272612,Vino,5.9,F,,29.5,157.33
167,0.101478434,334,2018-01-29T12:21:46.272766,Vin,3.6,male,,18,158.81
168,0.068415292,290,2018-01-29T12:21:46.272913,Vino,3.1,,SI,456.7872498,288.0320748
169,0.322711049,307,2018-01-29T12:21:46.273071,Bud Light,8.8,Female,,105.6,154.32
170,0.040220294,715,2018-01-29T12:21:46.273723,Beer,1.3,F,metric,460.0921677,250.0597035
171,0.02871733,721,2018-01-29T12:21:46.273964,Beer,1.3,M,,15.6,188.05
172,0.12346837,12/6/87,2018-01-29T12:21:46.274137,Merlot,3.3,F,metric,488.2091416,227.6555372
173,0.203835794,1/27/67,2018-01-29T12:21:46.274320,whiskey,4.4,Female,,6.6,126.36
174,0.053071753,338,2018-01-29T12:21:46.274623,IPA,2.7,Male,SI,958.538259,323.8851775
175,0.089984218,2/29/88,2018-01-29T12:21:46.274899,Beer,3.3,meal,SI,1171.637295,256.776628
176,0.196405596,283,2018-01-29T12:21:46.275129,Beer,7.5,meal,,90,180.24
177,0.28455854,5/13/91,2018-01-29T12:21:46.275344,Wine,7.5,femeal,,37.5,148.54
178,0.07964936,630,2018-01-29T12:21:46.275517,Vin,3.3,Male,,16.5,193.58
179,0.057083508,7/27/73,2018-01-29T12:21:46.275671,Vin,1.7,female,metric,250.6367421,232.3394636
180,0.060060666,43,2018-01-29T12:21:46.275857,vidka,1.7,,,2.55,142.36
181,0.024584408,8/5/61,2018-01-29T12:21:46.276018,Vino,0.9,meal,,4.5,196.73
182,0.011341646,761,2018-01-29T12:21:46.276180,Wine,0.8,male,,4,173.08
183,0.101637122,395,2018-01-29T12:21:46.276334,shots,3,F,metric,133.118409,250.2322451
184,0.028893599,664,2018-01-29T12:21:46.276504,Cab,0.9,,metric,135.3220882,242.9700442
185,0.236817685,32,2018-01-29T12:21:46.276674,Beer,7,,metric,2485.601865,249.5027026
186,0.058109884,4/7/71,2018-01-29T12:21:46.276846,vidka,2.1,,SI,93.44654526,299.1514841
187,0.064654946,47,2018-01-29T12:21:46.277017,Merlot,2.7,meal,SI,399.4390345,291.8176637
188,0.317696478,293,2018-01-29T12:21:46.277188,Franziskaner Weissbier,9.2,F,SI,3268.117541,231.2450401
189,0.011361599,756,2018-01-29T12:21:46.277347,Warsteiner,0.4,femeal,,4.8,144.18
190,0.08567229,426,2018-01-29T12:21:46.277493,shots,4.2,M,,6.3,209.08
191,0.059021291,742,2018-01-29T12:21:46.277760,vidka,2.4,Male,SI,105.0202175,285.5941157
192,0.062813318,570,2018-01-29T12:21:46.278110,shots,2.6,male,metric,116.4030263,282.364256
193,0.032970556,633,2018-01-29T12:21:46.278498,Beer,1,female,,12,173
194,0.059327931,6/24/82,2018-01-29T12:21:46.278765,shots,2.8,meal,metric,123.9849754,289.7120567
195,0.12840827,341,2018-01-29T12:21:46.278992,Franziskaner Weissbier,4.4,female,SI,1564.706775,269.1288364
196,0.038767814,662,2018-01-29T12:21:46.279229,Franziskaner Weissbier,1.8,meal,,21.6,190.84
197,0.096904416,55,2018-01-29T12:21:46.279475,vidka,2.7,female,,4.05,173.64
198,0.133571507,525,2018-01-29T12:21:46.279649,shots,4.6,F,,6.9,193.4
199,0.031356845,11/30/60,2018-01-29T12:21:46.279802,Merlot,1.3,meal,metric,190.3824222,266.334598
200,0.105938666,37,2018-01-29T12:21:46.279989,Bud Light,4.7,M,metric,1669.672343,288.1307118
201,0.083398071,628,2018-01-29T12:21:46.280164,Vin,2.4,female,,12,148.13
202,0.173648295,383,2018-01-29T12:21:46.280314,Bud Light,7.1,meal,,85.2,194.79
203,0.167531024,415,2018-01-29T12:21:46.280463,whiskey,4.4,,,6.6,144.97
204,0.113602974,639,2018-01-29T12:21:46.280611,vidka,3.3,Female,metric,147.4015776,238.6309322
205,0.089408818,49,2018-01-29T12:21:46.280770,Vin,4,Male,,20,197.7
206,0.016805936,726,2018-01-29T12:21:46.280939,Warsteiner,0.4,Male,metric,143.1410139,298.6468548
207,0.01429701,606,2018-01-29T12:21:46.281101,whiskey,0.5,femeal,,0.75,168.98
208,0.016535216,9/18/59,2018-01-29T12:21:46.281257,Warsteiner,0.9,meal,,10.8,182.72
209,0.128741212,9/23/81,2018-01-29T12:21:46.281419,vidka,4.8,female,,7.2,200.06
210,0.152048436,483,2018-01-29T12:21:46.281584,IPA,5.6,Male,metric,1989.111626,241.8233184
211,0.064149145,60,2018-01-29T12:21:46.281743,Scotch,2.9,M,,4.35,220.65
212,0.137398783,612,2018-01-29T12:21:46.281902,Franziskaner Weissbier,3.9,female,metric,1384.15187,239.844403
213,0.070628574,1/25/61,2018-01-29T12:21:46.282062,shots,1.8,F,SI,81.98014886,207.8250111
214,0.18192345,402,2018-01-29T12:21:46.282233,Vin,6.7,,,33.5,171.27
215,0.168587157,12/14/91,2018-01-29T12:21:46.282381,Cab,6.8,M,SI,1007.16617,275.1939564
216,0.069156766,8/30/57,2018-01-29T12:21:46.282553,vidka,2.5,meal,SI,111.71248,244.4271034
217,0.074541032,33,2018-01-29T12:21:46.282891,shots,3.7,male,SI,162.3305682,288.0686951
218,0.088129944,743,2018-01-29T12:21:46.283165,Vino,2.8,femeal,,14,164.67
219,0.057922237,11/15/81,2018-01-29T12:21:46.283326,Merlot,2.1,male,SI,311.4489133,248.6492989
220,0.039612233,35,2018-01-29T12:21:46.283505,Vin,1.4,,metric,205.9058675,228.0068833
221,0.095706098,7/30/54,2018-01-29T12:21:46.283682,Scotch,3.2,F,,4.8,188.01
222,0.031845839,545,2018-01-29T12:21:46.283864,IPA,1.1,female,metric,390.0100257,264.6195606
223,0.013143997,463,2018-01-29T12:21:46.284029,vidka,0.6,meal,SI,27.13750154,318.7686773
224,0.041071337,12/19/65,2018-01-29T12:21:46.284196,Scotch,1.4,femeal,SI,61.01683189,262.8292129
225,0.104296668,51,2018-01-29T12:21:46.284368,shots,3.9,Male,metric,172.9403019,274.4977847
226,0.058243204,688,2018-01-29T12:21:46.284540,Wine,2.2,femeal,,11,191.17
227,0.011132722,55,2018-01-29T12:21:46.284687,Beer,0.4,F,SI,141.9531375,279.6486732
228,0.197339125,394,2018-01-29T12:21:46.284858,Bud Light,6.1,femeal,,73.2,171.82
229,0.091164378,34,2018-01-29T12:21:46.285042,Scotch,2.9,femeal,,4.35,171.19
230,0.135420806,334,2018-01-29T12:21:46.285209,shots,6.3,Male,,9.45,201
231,0.032158335,742,2018-01-29T12:21:46.285356,IPA,0.8,femeal,,9.6,125.02
232,0.050489085,754,2018-01-29T12:21:46.285503,whiskey,2.4,M,metric,105.1478375,300.8715511
233,0.230017343,21,2018-01-29T12:21:46.285661,Vino,10.7,M,metric,1582.394131,311.0172289
234,0.014078761,432,2018-01-29T12:21:46.285833,IPA,0.7,meal,,8.4,228.36
235,0.019181947,592,2018-01-29T12:21:46.285986,Beer,0.5,Female,,6,169.29
236,0.042972481,601,2018-01-29T12:21:46.286133,Warsteiner,2,M,metric,710.5311622,291.3175423
237,0.098886994,379,2018-01-29T12:21:46.286291,shots,4,Male,metric,178.363824,297.4573498
238,0.090895259,7/5/82,2018-01-29T12:21:46.286449,vidka,2.8,Female,metric,122.7967121,273.6203694
239,0.145360511,1/22/80,2018-01-29T12:21:46.286625,Bud Light,5.3,M,,63.6,166.32
240,0.154768153,58,2018-01-29T12:21:46.286785,Merlot,3.8,Female,metric,562.6769928,204.7806218
241,0.157460118,543,2018-01-29T12:21:46.286954,shots,5,Male,metric,221.0723453,225.2091835
242,0.10115587,57,2018-01-29T12:21:46.287112,IPA,3,female,,36,156.34
243,0.449301772,22,2018-01-29T12:21:46.287269,IPA,9.8,F,SI,3481.210952,177.6552616
244,0.046384126,49,2018-01-29T12:21:46.287438,Merlot,1.5,female,metric,222.435421,261.5247469
245,0.135050939,41,2018-01-29T12:21:46.287607,Beer,4.2,F,metric,1491.818326,256.4638408
246,0.126130551,772,2018-01-29T12:21:46.287776,Vino,3.1,female,,15.5,140.43
247,0.117783053,432,2018-01-29T12:21:46.287921,IPA,4.9,meal,metric,1740.188687,323.1512928
248,0.063004351,10/19/74,2018-01-29T12:21:46.288083,Vino,2.9,Male,metric,429.9586433,279.9094532
249,0.268211022,353,2018-01-29T12:21:46.288255,Beer,7.6,femeal,,91.2,157.75
250,0.082840949,599,2018-01-29T12:21:46.288528,Warsteiner,2.5,femeal,,30,170.09
251,0.037141654,596,2018-01-29T12:21:46.288734,Warsteiner,1,femeal,,12,172.74
252,0.068341883,57,2018-01-29T12:21:46.288903,Merlot,1.7,F,metric,250.2843268,206.3772795
253,0.033635637,4/12/89,2018-01-29T12:21:46.289082,Vino,1.7,male,,8.5,239.35
254,0.150538457,536,2018-01-29T12:21:46.289250,Vin,4.5,female,SI,665.4268323,251.3326476
255,0.188665932,519,2018-01-29T12:21:46.289413,shots,5.2,Female,metric,232.3747745,231.4320757
256,0.083483173,31,2018-01-29T12:21:46.289574,IPA,3.2,male,metric,1137.073406,242.5545792
257,0.038900603,2/17/68,2018-01-29T12:21:46.289748,Vin,1.5,Male,metric,220.1393335,277.1572938
258,0.125980925,522,2018-01-29T12:21:46.289923,shots,4.6,Female,SI,205.7153939,293.2669681
259,0.030175933,474,2018-01-29T12:21:46.290084,Wine,0.6,,SI,88.31682313,187.0907839
260,0.150077516,7/18/92,2018-01-29T12:21:46.290245,Merlot,4.9,Female,metric,727.7496661,276.3031478
261,0.049973127,59,2018-01-29T12:21:46.290450,vidka,2.1,M,SI,94.09872936,252.7691167
262,0.076928901,43,2018-01-29T12:21:46.290627,Cab,3.4,meal,metric,503.7437177,299.3525426
263,0.021745891,312,2018-01-29T12:21:46.290801,Vino,1,M,metric,147.8024401,223.8031989
264,0.008644715,600,2018-01-29T12:21:46.290960,shots,0.5,male,metric,22.71812946,233.8313127
265,0.144076905,10/5/76,2018-01-29T12:21:46.291119,Scotch,3.6,F,metric,160.1587047,209.076965
266,0.080734027,526,2018-01-29T12:21:46.291299,Franziskaner Weissbier,2.9,Female,SI,1029.331881,294.3636563
267,0.117297983,737,2018-01-29T12:21:46.291459,Cab,3.7,femeal,metric,548.2793901,263.5496141
268,0.111667217,4/21/64,2018-01-29T12:21:46.291619,Merlot,3.3,femeal,,16.5,160.54
269,0.234361728,425,2018-01-29T12:21:46.291780,vidka,5.7,femeal,metric,253.0469025,197.5242354
270,0.126179977,470,2018-01-29T12:21:46.291939,vidka,3.2,F,SI,143.6705855,218.5910748
271,0.016574846,12/30/57,2018-01-29T12:21:46.292099,Warsteiner,0.8,F,metric,283.7899289,260.1383311
272,0.144040966,8/8/71,2018-01-29T12:21:46.292282,Wine,4.3,,,21.5,173
273,0.198271758,438,2018-01-29T12:21:46.292443,Warsteiner,5.5,femeal,,66,155.25
274,0.054092646,261,2018-01-29T12:21:46.292595,shots,2.3,male,,3.45,183.19
275,0.044083204,10/2/77,2018-01-29T12:21:46.292740,Cab,1.2,F,,6,158.22
276,0.214280037,384,2018-01-29T12:21:46.292901,Scotch,5.5,Female,,8.25,144.02
277,0.046421986,670,2018-01-29T12:21:46.293046,vidka,1.8,male,SI,78.80555594,243.4230932
278,0.109549125,54,2018-01-29T12:21:46.293205,whiskey,3.7,M,,5.55,158.63
